Latitude,Longitude,Accuracy,Reading,Time 
-34.02594358,150.66278153,4.0,0.0706,Wed Nov 01 14:53:06 AEDT 2017
-34.02605431,150.66254794,4.0,0.08219999,Wed Nov 01 14:59:26 AEDT 2017
-34.02631584,150.66240406,3.0,0.0777,Wed Nov 01 15:03:28 AEDT 2017
-34.02625085,150.66210712,9.0,0.0749,Wed Nov 01 15:06:34 AEDT 2017
-34.02625083,150.66210689,9.0,0.0732,Wed Nov 01 15:06:35 AEDT 2017
-34.02625191,150.66210631,9.0,0.0697,Wed Nov 01 15:06:36 AEDT 2017
-34.02625382,150.6621055,10.0,0.0708,Wed Nov 01 15:06:39 AEDT 2017
-34.0221121,150.66372115,10.0,0.0648,Wed Nov 01 15:13:08 AEDT 2017
-34.02199678,150.66336738,10.0,0.06690001,Wed Nov 01 15:16:30 AEDT 2017
-34.02199403,150.66336402,9.0,0.0641,Wed Nov 01 15:17:02 AEDT 2017
-34.02199403,150.66336399,9.0,0.0578,Wed Nov 01 15:17:03 AEDT 2017
-34.02199403,150.66336395,9.0,0.06,Wed Nov 01 15:17:06 AEDT 2017
-34.02199401,150.66336393,10.0,0.0597,Wed Nov 01 15:17:09 AEDT 2017
